
======================================================
CATEGORIA XTREAM: ABERTOS (Total: 64 canais)
======================================================
  • Nome na API: 'SBT Ribeirão Preto' | Normalizado: 'SBT RIBEIRAO PRETO' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT SC' | Normalizado: 'SBT SC' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT SP' | Normalizado: 'SBT SP' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT SP' | Normalizado: 'SBT SP' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT SP' | Normalizado: 'SBT SP' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT Tv Alterosa MG' | Normalizado: 'SBT TV ALTEROSA MG' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT Tv Aratu Bahia' | Normalizado: 'SBT TV ARATU BAHIA' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT Tv Jangadeiro' | Normalizado: 'SBT TV JANGADEIRO' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT Tv Jangadeiro' | Normalizado: 'SBT TV JANGADEIRO' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT Tv Jangadeiro' | Normalizado: 'SBT TV JANGADEIRO' | EPG ID da lista: 'br#sbt-s-o-paulo'
  • Nome na API: 'SBT Tv Tambau' | Normalizado: 'SBT TV TAMBAU' | EPG ID da lista: 'br#sbt-s-o-paulo'

======================================================
CATEGORIA XTREAM: RECORD (Total: 57 canais)
======================================================
  • Nome na API: 'Rd Bahia' | Normalizado: 'RD BAHIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Bahia' | Normalizado: 'RD BAHIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Bahia' | Normalizado: 'RD BAHIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Bahia Hd¹' | Normalizado: 'RD BAHIA HD1' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Blumenau' | Normalizado: 'RD BLUMENAU' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Brasilia' | Normalizado: 'RD BRASILIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Brasilia' | Normalizado: 'RD BRASILIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Brasilia' | Normalizado: 'RD BRASILIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Campinas' | Normalizado: 'RD CAMPINAS' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Criciuma' | Normalizado: 'RD CRICIUMA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Floripa' | Normalizado: 'RD FLORIPA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Itapoan' | Normalizado: 'RD ITAPOAN' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Juara MT' | Normalizado: 'RD JUARA MT' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd MG' | Normalizado: 'RD MG' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd MG' | Normalizado: 'RD MG' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd MG' | Normalizado: 'RD MG' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Manaus' | Normalizado: 'RD MANAUS' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Manaus' | Normalizado: 'RD MANAUS' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Para' | Normalizado: 'RD PARA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Paranaiba Uberlandia' | Normalizado: 'RD PARANAIBA UBERLANDIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Paranaiba Uberlandia MG' | Normalizado: 'RD PARANAIBA UBERLANDIA MG' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd RJ' | Normalizado: 'RD RJ' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd RJ' | Normalizado: 'RD RJ' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd RJ Hd¹' | Normalizado: 'RD RJ HD1' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd RS' | Normalizado: 'RD RS' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd RS' | Normalizado: 'RD RS' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
